width,num_params,optimizer,steps,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn,act_fn
"[784, 30, 20, 15, 10]",24645,Adam,2000,0.005,1e-05,1,1,0.06587361,0.07560756,0.9812600016593933,0.9684000015258789,plots/mlp_loss_2025-01-30_13-59-31.png,plots/mlp_acc_2025-01-30_13-59-34.png,weights/mlp_2025-01-30_13-59-35_state,,
"[784, 30, 20, 15, 10]",24645,Adam,3000,0.005,1e-05,1,1,0.06181649,0.075997435,0.9832599759101868,0.9681999683380127,plots/mlp_loss_2025-01-30_14-14-39.png,plots/mlp_acc_2025-01-30_14-14-44.png,weights/mlp_2025-01-30_14-14-47_state,,
"[784, 30, 20, 15, 10]",24645,Adam,3000,0.003,1e-05,1,1,0.06669699,0.07904255,0.9799999594688416,0.9664999842643738,plots/mlp_loss_2025-01-30_14-15-34.png,plots/mlp_acc_2025-01-30_14-15-38.png,weights/mlp_2025-01-30_14-15-40_state,,
"[784, 30, 20, 15, 10]",24645,Adam,3000,0.008,1e-05,1,1,0.06730958,0.07719799,0.9800799489021301,0.9659000039100647,plots/mlp_loss_2025-01-30_14-16-26.png,plots/mlp_acc_2025-01-30_14-16-30.png,weights/mlp_2025-01-30_14-16-31_state,,
"[784, 30, 20, 15, 10]",24645,Adam,3000,0.008,0,1,1,0.023799557,0.09175259,0.9970999956130981,0.9526999592781067,plots/mlp_loss_2025-01-30_14-17-13.png,plots/mlp_acc_2025-01-30_14-17-17.png,weights/mlp_2025-01-30_14-17-20_state,,
"[784, 30, 20, 15, 10]",24645,Adam,3000,0.008,1e-05,1,0,0.060538102,0.07328203,0.9842199683189392,0.9697999954223633,plots/mlp_loss_2025-01-30_14-18-09.png,plots/mlp_acc_2025-01-30_14-18-12.png,weights/mlp_2025-01-30_14-18-13_state,,
"[784, 30, 20, 15, 10]",24645,Adam,3000,0.004,1e-05,2,0,0.083400734,0.08656669,0.9659799933433533,0.9617999792098999,plots/mlp_loss_2025-01-30_14-19-26.png,plots/mlp_acc_2025-01-30_14-19-29.png,weights/mlp_2025-01-30_14-19-32_state,,
"[784, 30, 20, 15, 10]",24645,Adam,5000,0.004,1e-05,2,0,0.07923138,0.08447047,0.9687399864196777,0.9605000019073486,plots/mlp_loss_2025-01-30_14-20-34.png,plots/mlp_acc_2025-01-30_14-21-10.png,weights/mlp_2025-01-30_14-21-11_state,,
"[784, 126, 126, 10]",116182,Adam,5000,0.004,1e-05,2,0,0.09930865,0.101219065,0.9572999477386475,0.9524999856948853,plots/mlp_loss_2025-01-30_14-22-47.png,plots/mlp_acc_2025-01-30_14-22-52.png,weights/mlp_2025-01-30_14-22-55_state,,
"[784, 126, 126, 10]",116182,Adam,5000,0.008,1e-05,2,0,0.09968044,0.09971176,0.9575999975204468,0.9554999470710754,plots/mlp_loss_2025-01-30_14-25-17.png,plots/mlp_acc_2025-01-30_14-25-20.png,weights/mlp_2025-01-30_14-25-21_state,,
"[784, 126, 126, 10]",116182,Adam,5000,0.002,1e-05,2,0,0.09915688,0.099680774,0.9601399898529053,0.9590999484062195,plots/mlp_loss_2025-01-30_14-27-06.png,plots/mlp_acc_2025-01-30_14-27-18.png,weights/mlp_2025-01-30_14-27-21_state,,
"[784, 126, 126, 10]",116182,Adam,5000,0.002,1e-06,2,0,0.050975528,0.069740586,0.9950999617576599,0.9793999791145325,plots/mlp_loss_2025-01-30_14-28-32.png,plots/mlp_acc_2025-01-30_14-28-35.png,weights/mlp_2025-01-30_14-28-40_state,,
"[784, 126, 126, 10]",116182,Adam,5000,0.002,1e-06,2,1,0.045670956,0.065737024,0.9960599541664124,0.9819999933242798,plots/mlp_loss_2025-01-30_14-48-22.png,plots/mlp_acc_2025-01-30_14-48-25.png,weights/mlp_2025-01-30_14-48-28_state,,
"[784, 40, 30, 20, 10]",33460,Adam,5000,0.002,1e-06,2,1,0.033145625,0.07446764,0.996999979019165,0.9684999585151672,plots/mlp_loss_2025-01-30_14-49-43.png,plots/mlp_acc_2025-01-30_14-49-48.png,weights/mlp_2025-01-30_14-49-50_state,,
"[784, 40, 30, 20, 10]",33460,Adam,5000,0.002,1e-06,1,0,0.027035005,0.07456167,0.9975599646568298,0.9667999744415283,plots/mlp_loss_2025-01-30_14-50-58.png,plots/mlp_acc_2025-01-30_14-51-10.png,weights/mlp_2025-01-30_14-51-11_state,,
"[784, 40, 30, 20, 10]",33460,Adam,5000,0.002,1e-06,5,1,0.047956925,0.07266904,0.9925999641418457,0.9695999622344971,plots/mlp_loss_2025-01-30_14-52-51.png,plots/mlp_acc_2025-01-30_14-52-53.png,weights/mlp_2025-01-30_14-52-55_state,,
"[784, 40, 30, 20, 10]",33460,Adam,5000,0.002,1e-05,5,1,0.11070981,0.1104282,0.937279999256134,0.9368999600410461,plots/mlp_loss_2025-01-30_14-54-04.png,plots/mlp_acc_2025-01-30_14-54-06.png,weights/mlp_2025-01-30_14-54-09_state,,
"[784, 40, 30, 20, 10]",33460,Adam,5000,0.001,1e-06,1,0,0.030249253,0.07414009,0.996999979019165,0.9685999751091003,plots/mlp_loss_2025-01-30_14-55-04.png,plots/mlp_acc_2025-01-30_14-55-10.png,weights/mlp_2025-01-30_14-55-13_state,,
"[784, 40, 30, 20, 10]",33460,Adam,5000,0.001,1e-06,2,1,0.035271425,0.07313293,0.9961599707603455,0.9686999917030334,plots/mlp_loss_2025-01-30_14-56-28.png,plots/mlp_acc_2025-01-30_14-56-30.png,weights/mlp_2025-01-30_14-56-32_state,,
"[784, 40, 30, 20, 10]",33460,Adam,5000,0.001,4e-06,2,1,0.060517404,0.07590252,0.9856999516487122,0.9684000015258789,plots/mlp_loss_2025-01-30_14-57-33.png,plots/mlp_acc_2025-01-30_14-57-35.png,weights/mlp_2025-01-30_14-57-37_state,,
"[784, 40, 40, 10]",33450,Adam,5000,0.001,4e-06,2,0,0.081470616,0.08603873,0.9759199619293213,0.9698999524116516,plots/mlp_loss_2025-01-30_14-59-12.png,plots/mlp_acc_2025-01-30_14-59-17.png,weights/mlp_2025-01-30_14-59-19_state,,
"[784, 40, 40, 10]",33450,Adam,10000,0.001,4e-06,1,0,0.06490227,0.075975716,0.9856399893760681,0.9749999642372131,plots/mlp_loss_2025-01-30_15-01-11.png,plots/mlp_acc_2025-01-30_15-01-16.png,weights/mlp_2025-01-30_15-01-19_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.001,4e-06,1,0,0.07167507,0.078647494,0.9825999736785889,0.9747999906539917,plots/mlp_loss_2025-01-30_15-02-53.png,plots/mlp_acc_2025-01-30_15-02-59.png,weights/mlp_2025-01-30_15-03-00_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.01,4e-06,1,0,0.06857003,0.075765826,0.984779953956604,0.9768999814987183,plots/mlp_loss_2025-01-30_15-05-00.png,plots/mlp_acc_2025-01-30_15-05-02.png,weights/mlp_2025-01-30_15-05-03_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.053740833,0.07090918,0.991919994354248,0.977400004863739,plots/mlp_loss_2025-01-30_15-07-07.png,plots/mlp_acc_2025-01-30_15-07-11.png,weights/mlp_2025-01-30_15-07-13_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.001,2e-06,1,0,0.050349113,0.07036304,0.9928199648857117,0.9759999513626099,plots/mlp_loss_2025-01-30_15-11-14.png,plots/mlp_acc_2025-01-30_15-11-18.png,weights/mlp_2025-01-30_15-11-19_state,,
