width,num_params,optimizer,steps,grid,k,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.6604168132584668,4.273560251191214e-07,0,0,0.3582903,0.4756052,0.9639166593551636,0.9375,plots/kan_loss_2025-02-06_19-42-57.png,plots/kan_acc_2025-02-06_19-42-57.png,weights/kan_2025-02-06_19-42-57_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.11215894225352978,3.2822226574360495e-07,1,0,0.233163,0.52347374,0.9880333542823792,0.9373999834060669,plots/kan_loss_2025-02-06_20-00-19.png,plots/kan_acc_2025-02-06_20-00-19.png,weights/kan_2025-02-06_20-00-19_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.21402273670393676,2.6013572478953865e-06,1,1,0.2614837,0.48951107,0.9832333326339722,0.9364999532699585,plots/kan_loss_2025-02-06_17-37-02.png,plots/kan_acc_2025-02-06_17-37-02.png,weights/kan_2025-02-06_17-37-02_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.32852305060208836,1.4359996395447662e-06,1,0,0.3501366,0.46963456,0.9659333229064941,0.9363999962806702,plots/kan_loss_2025-02-06_20-30-44.png,plots/kan_acc_2025-02-06_20-30-44.png,weights/kan_2025-02-06_20-30-44_state,CrossEntropy
"[[784, 0], [28, 0], [10, 0]]",209832,Adam,3000,5,3,0.00017801770966964316,2.2363561617310597e-07,2,1,0.07590751,0.1235768,0.9868333339691162,0.9362999796867371,plots/kan_loss_2025-02-04_14-18-18.png,plots/kan_acc_2025-02-04_14-18-18.png,weights/kan_2025-02-04_14-18-18_state,
"[[784, 0], [20, 0], [20, 0], [10, 0]]",270568,Adam,100,5,3,0.005,1.8e-05,1,1,0.12190043,0.12350696,0.9399999976158142,0.9358999729156494,plots/kan_loss_2025-01-29_17-34-29.png,plots/kan_acc_2025-01-29_17-34-33.png,weights/kan_2025-01-29_17-34-34_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.1603085332531665,9.276945080658432e-07,0,1,0.23246168,0.5261483,0.9884999990463257,0.9358999729156494,plots/kan_loss_2025-02-06_20-39-25.png,plots/kan_acc_2025-02-06_20-39-25.png,weights/kan_2025-02-06_20-39-25_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.7526161861133785,4.998672385774359e-07,0,0,0.36095315,0.4627176,0.9627833366394043,0.9357999563217163,plots/kan_loss_2025-02-06_20-08-59.png,plots/kan_acc_2025-02-06_20-08-59.png,weights/kan_2025-02-06_20-09-00_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.2123075553091708,2.0924313551764839e-07,0,0,0.2390005,0.5206305,0.9871166944503784,0.935699999332428,plots/kan_loss_2025-02-06_20-26-23.png,plots/kan_acc_2025-02-06_20-26-23.png,weights/kan_2025-02-06_20-26-23_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.33767389628497013,1.1598617085994475e-06,2,2,0.35748813,0.47893593,0.9637333154678345,0.9354999661445618,plots/kan_loss_2025-02-06_19-12-34.png,plots/kan_acc_2025-02-06_19-12-34.png,weights/kan_2025-02-06_19-12-34_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.6477534295563132,1.0210702074518636e-07,0,0,0.3793628,0.4703494,0.9585166573524475,0.9354999661445618,plots/kan_loss_2025-02-06_19-38-36.png,plots/kan_acc_2025-02-06_19-38-36.png,weights/kan_2025-02-06_19-38-36_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.5244723133855952,1.9381491391789435e-06,2,4,0.3720461,0.4698368,0.9600833654403687,0.9345999956130981,plots/kan_loss_2025-02-06_19-16-54.png,plots/kan_acc_2025-02-06_19-16-54.png,weights/kan_2025-02-06_19-16-54_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.4664307159627387,1.6011734128975504e-07,1,1,0.3731541,0.48422462,0.9617000222206116,0.9341999888420105,plots/kan_loss_2025-02-06_19-29-56.png,plots/kan_acc_2025-02-06_19-29-56.png,weights/kan_2025-02-06_19-29-56_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.3381299483869389,2.624708285817241e-07,4,3,0.34620476,0.4845326,0.966533362865448,0.9340999722480774,plots/kan_loss_2025-02-06_18-03-07.png,plots/kan_acc_2025-02-06_18-03-07.png,weights/kan_2025-02-06_18-03-07_state,CrossEntropy
